Robin Uthappa,950000,85,1
Glenn Maxwell,1050000,80,2
Suresh Raina,1100000,76,1
David Warner,1050000,75,2
Lasith Malinga,1000000,70,2
Sunil Narine,1000000,69,2
Yuvraj Singh,1050000,67,1
JP Duminy,1000000,67,2
Varun Aaron,850000,64,1
Mitchell Starc,950000,62,2
Harbhajan Singh,950000,62,1
Mitchell Johnson,900000,60,2
James Faulkner,1000000,60,2
AB de Villiers,1100000,59,2
Morne Morkel,900000,59,2
David Miller,1000000,59,2
Shane Watson,1050000,57,2
Mohit Sharma,850000,57,1
Pravin Tambe,850000,57,1
Rajat Bhatia,800000,56,1
Karun Nair,700000,56,1
Corey Anderson,950000,55,2
Ravichandran Ashwin,950000,55,1
Brendon McCullum,1050000,53,2
Imran Tahir,900000,53,2
Dale Steyn,1000000,52,2
Yuzvendra Chahal,700000,51,1
Virender Sehwag,950000,51,1
Rohit Sharma,1050000,51,1
Wriddhiman Saha,800000,50,1
Zaheer Khan,850000,49,1
Dhawal Kulkarni,750000,49,1
Umesh Yadav,850000,48,1
MS Dhoni,1000000,47,1
Naman Ojha,800000,47,1
Ajinkya Rahane,950000,47,1
Harshal Patel,700000,46,1
Manish Pandey,800000,46,1
Dinesh Karthik,900000,45,1
Ambati Rayudu,800000,45,1
Virat Kohli,1050000,45,1
Michael Hussey,900000,44,2
Shikhar Dhawan,950000,44,1
Aaron Finch,900000,43,2
Nathan Coulter-Nile,850000,42,2
Francois du Plessis,900000,42,2
Parthiv Patel,800000,41,1
Beuran Hendricks,750000,41,2
Kevin Pietersen,950000,41,2
Yusuf Pathan,900000,40,1
Kieron Pollard,950000,39,2
Samuel Badree,850000,38,2
Ishwar Pandey,700000,38,1
Jaidev Unadkat,800000,37,1
Gautam Gambhir,950000,37,1
Yogesh Takawale,650000,36,1
Albie Morkel,850000,36,2
Jasprit Bumrah,700000,35,1
Vikramjeet Malik,700000,35,1
George Bailey,850000,35,2
Quinton de Kock,900000,34,2
Abu Nechim,650000,34,1
Murali Vijay,900000,34,1
Steve Smith,950000,34,2
Moises Henriques,850000,33,2
Parvinder Awana,750000,33,1
Vinay Kumar,850000,33,1
Ishant Sharma,850000,33,1
Chris Gayle,1100000,33,2
Tim Southee,900000,31,2
CM Gautam,650000,30,1
Shahbaz Nadeem,800000,30,1
Amit Mishra,950000,29,1
Mohammed Shami,850000,29,1
Manoj Tiwary,800000,29,1
Darren Sammy,900000,28,2
Kedar Jadhav,700000,28,1
Irfan Pathan,800000,27,1
Pragyan Ojha,850000,27,1
Stuart Binny,850000,25,1
Pawan Suyal,650000,25,1
Ashok Dinda,800000,25,1
Lokesh Rahul,750000,24,1
Suryakumar Yadav,700000,24,1
Mayank Agarwal,750000,23,1
Ryan ten Doeschate,850000,21,2
Iqbal Abdulla,700000,19,1
Nic Maddinson,800000,19,2
Manvinder Bisla,750000,17,1
Laxmi Ratan Shukla,750000,17,1
Aditya Tare,750000,15,1
Dwayne Bravo,950000,15,2
Rilee Rossouw,850000,15,2
Abhishek Nayar,750000,14,1
Vijay Zol,600000,13,1
Dishant Yagnik,650000,12,1
Siddarth Kaul,650000,12,1
Mandeep Singh,750000,12,1
Rahul Sharma,750000,9,1
Mithun Manhas,700000,9,1
Pawan Negi,650000,8,1
Andre Russell,900000,7,2
