firstname,num_games_2013,avg_points_2013,num_games_2014,avg_points_2014,num_games_2015,avg_points_2015,num_games_2016wc,avg_points_2016wc,num_games_2016,avg_points_2016
"Mithun Manhas",2,6,12,9,0,,,,,
"David Hussey",11,37,5,51,,,,,,
"Dwayne Smith",13,60,16,76,16,47,,,12,74
"Suresh Raina",17,62,16,76,17,51,5,42,15,49
"Brendon McCullum",1,7,14,53,14,61,,,16,34
"Dwayne Bravo",18,68,1,15,17,81,6,89,15,46
"Ravindra Jadeja",18,51,16,68,17,51,5,43,15,38
"MS Dhoni",16,57,16,47,17,48,5,44,14,43
"Pawan Negi",1,19,2,8,10,53,,,8,16
"Ravichandran Ashwin",18,44,16,55,14,54,5,46,14,36
"Ashish Nehra",10,34,4,61,16,71,5,45,8,47
"Ishwar Pandey",2,5,13,38,10,54,,,,
"Mohit Sharma","",0,16,57,16,41,,,14,35
"Samuel Badree",1,11,4,38,0,,6,82,,
"Jayant Yadav",16,40,0,,2,63,,,5,24
"Kedar Jadhav",10,24,10,28,13,32,,,4,18
"Manoj Tiwary",9,23,8,29,5,22,,,,
"Mayank Agarwal",5,20,8,23,10,39,,,3,11
"Murali Vijay",15,31,11,34,11,37,,,14,49
"Ross Taylor",5,15,4,23,,,5,33,,
"Saurabh Tiwary",6,26,0,,6,35,,,10,32
"Quinton de Kock","",0,7,34,2,47,4,77,13,65
"Laxmi Ratan Shukla",3,10,5,17,0,,,,,
"Dinesh Karthik",19,45,14,45,14,31,,,16,42
"Nathan Coulter-Nile",1,61,2,42,11,70,4,21,4,30
"Jaydev Unadkat",13,45,9,37,1,4,,,1,-22
"Mohammed Shami",3,16,12,29,0,,,,8,18
"Rahul Shukla",3,24,3,30,,,,,,
"Shahbaz Nadeem",12,48,11,30,3,39,,,4,17
"Siddarth Kaul",6,38,5,12,0,,,,,
"Wayne Parnell",4,46,8,43,,,,,,
"Debabrata Das",6,19,0,,,,,,,
"Gautam Gambhir",16,42,16,37,13,41,,,15,51
"Manish Pandey",7,31,16,46,13,32,1,0,12,40
"Robin Uthappa",16,42,16,85,13,60,,,15,57
"Andre Russell",3,6,2,7,13,101,6,94,12,76
"Jacques Kallis",16,73,8,53,,,,,,
"Ryan ten Doeschate",4,38,10,21,6,26,,,,
"Yusuf Pathan",16,40,15,40,13,49,,,15,48
"Manvinder Bisla",14,27,1,17,2,33,,,,
"Piyush Chawla",16,42,11,61,13,45,,,12,37
"Morne Morkel",10,41,12,59,7,71,,,10,31
"Sunil Narine",16,77,16,69,8,49,,,11,42
"Cheteshwar Pujara",4,30,6,28,,,,,,
"David Miller",12,72,16,59,13,50,4,31,14,25
"Gurkeerat Mann Singh",9,18,0,,5,33,,,7,39
"Manan Vohra",10,27,8,79,7,18,,,7,39
"Mandeep Singh",14,28,3,12,12,29,,,1,15
"Shaun Marsh",8,59,2,82,4,40,,,6,38
"Virender Sehwag",13,39,17,51,8,18,,,,
"Glenn Maxwell",3,22,16,80,11,27,4,71,11,32
"Axar Patel",13,38,17,71,14,62,,,14,44
"Rishi Dhawan",5,34,13,54,5,22,,,2,38
"Thisara Perera",16,72,0,,2,21,4,63,12,40
"Wriddhiman Saha",3,39,17,50,14,37,,,12,43
"Mitchell Johnson",17,66,14,60,9,39,,,3,16
"Lakshmipathy Balaji",13,42,9,49,,,,,,
"Murali Kartik",11,36,2,15,,,,,,
"Parvinder Awana",14,45,7,33,0,,,,,
"Michael Hussey",17,79,9,44,4,33,,,,
"Rohit Sharma",19,51,15,51,16,58,5,29,14,64
"Aditya Tare",5,48,15,15,2,10,,,3,5
"Ambati Rayudu",17,23,15,45,15,42,,,13,40
"Kieron Pollard",18,62,15,39,16,64,,,13,28
"CM Gautam",3,24,9,30,1,18,,,,
"Harbhajan Singh",19,68,14,62,15,70,,,14,34
"Jasprit Bumrah",2,45,11,35,4,10,5,32,14,39
"Lasith Malinga",17,50,10,70,15,73,,,,
"Pawan Suyal",1,40,1,25,3,6,,,,
"Pragyan Ojha",15,44,12,27,1,-4,,,,
"Praveen Kumar",15,55,3,64,12,25,,,16,32
"Zaheer Khan",2,78,6,49,6,68,,,12,36
"Virat Kohli",16,73,14,45,14,70,5,105,16,121
"Chris Gayle",16,93,9,33,12,77,5,77,10,53
"AB de Villiers",14,49,14,59,14,72,4,54,16,95
"Albie Morkel",8,51,7,36,4,61,,,2,29
"Yuvraj Singh",13,52,14,67,13,34,4,31,10,40
"Ashok Dinda",13,40,9,25,1,12,,,9,52
"Muttiah Muralitharan",6,28,5,32,,,,,,
"Ravi Rampaul",10,69,2,45,,,,,,
"Yuzvendra Chahal",1,12,14,51,13,57,,,13,54
"Ajinkya Rahane",18,43,13,47,13,75,1,52,14,59
"Brad Hodge",14,38,4,49,,,,,,
"Unmukt Chand",9,25,1,-5,6,32,,,1,-9
"Abhishek Nayar",10,15,5,14,0,,,,,
"Karun Nair",2,4,11,56,13,24,,,14,43
"Steven Smith",7,39,10,34,13,44,4,32,8,59
"Sanju Samson",10,34,13,53,13,35,,,14,32
"Rajat Bhatia",15,38,12,56,2,5,,,10,37
"Shane Watson",16,96,13,57,9,95,4,91,16,62
"Stuart Binny",17,47,13,25,12,29,,,14,17
"Dishant Yagnik",9,22,1,12,0,,,,,
"Ankit Sharma",1,7,3,76,4,35,,,3,21
"James Faulkner",16,81,13,60,12,53,4,94,7,27
"Kevon Cooper",14,53,5,55,,,,,,
"Dhawal Kulkarni",6,49,8,49,10,56,,,14,56
"Iqbal Abdulla",5,52,1,19,5,48,,,8,38
"Kane Richardson",3,42,7,58,0,,,,4,50
"Pravin Tambe",3,21,13,57,9,39,,,7,22
"Vikramjeet Malik",3,46,1,35,0,,,,,
"Aaron Finch",14,58,13,43,3,4,2,41,13,55
"David Warner",16,45,14,75,14,85,4,16,17,89
"Manpreet Juneja",7,24,0,,,,,,,
"Shikhar Dhawan",10,50,14,44,14,44,4,27,17,46
"Srikkanth Anirudha",1,-2,1,1,,,,,,
"Lokesh Rahul",2,15,11,24,9,26,,,14,55
"Darren Sammy",10,66,10,28,2,14,6,19,,
"Irfan Pathan",15,49,10,27,0,,,,4,13
"Moises Henriques",10,51,4,33,9,108,,,17,47
"Naman Ojha",2,5,11,47,14,21,,,17,24
"Parveez Rasool",2,33,3,21,2,34,,,4,16
"Amit Mishra",17,72,10,29,12,36,,,14,38
"Ashish Reddy",10,27,0,,6,38,,,4,28
"Bhuvneshwar Kumar",16,53,14,73,14,61,,,17,62
"Dale Steyn",17,73,14,52,6,28,2,17,1,2
"Ishant Sharma",16,31,3,33,4,9,,,4,19
"Jason Holder",6,22,1,60,,,,,4,24
"Karn Sharma",13,45,14,53,14,43,,,5,8
"Angelo Mathews",11,49,,,10,55,3,69,,
"Azhar Mahmood",11,86,,,1,6,,,,
"Sumit Narwal",2,24,,,0,,,,,
