firstname,num_games_2013,avg_points_2013,num_games_2014,avg_points_2014,num_games_2015,avg_points_2015,num_games_2016,avg_points_2016
"Mithun Manhas",2,6,12,9,0,,,
"David Hussey",11,37,5,51,,,,
"Dwayne Smith",13,60,16,76,16,47,,
"Francois du Plessis",,,15,42,17,41,4,42
"Suresh Raina",17,62,16,76,17,51,4,53
"Brendon McCullum",1,7,14,53,14,61,,
"Baba Aparajith",,,0,,0,,,
"Dwayne Bravo",18,68,1,15,17,81,4,87
"John Hastings",,,1,27,,,1,13
"Ravindra Jadeja",18,51,16,68,17,51,4,56
"Vijay Shankar",,,1,-4,,,,
"MS Dhoni",16,57,16,47,17,48,4,51
"Pawan Negi",1,19,2,8,10,53,,
"Ravichandran Ashwin",18,44,16,55,14,54,4,59
"Ashish Nehra",10,34,4,61,16,71,4,47
"Ben Hilfenhaus",,,8,40,0,,,
"Ishwar Pandey",2,5,13,38,10,54,,
"Matt Henry",,,0,,0,,,
"Mohit Sharma","",0,16,57,16,41,,
"Ronit More",,,0,,2,17,,
"Samuel Badree",1,11,4,38,0,,4,73
"Jayant Yadav",16,40,0,,2,63,,
"Kedar Jadhav",10,24,10,28,13,32,,
"Kevin Pietersen",,,11,41,0,,,
"Manoj Tiwary",9,23,8,29,5,22,,
"Mayank Agarwal",5,20,8,23,10,39,,
"Milind Kumar",,,0,,,,,
"Murali Vijay",15,31,11,34,11,37,,
"Ross Taylor",5,15,4,23,,,4,39
"Saurabh Tiwary",6,26,0,,6,35,,
"JP Duminy",,,14,67,13,76,2,87
"Quinton de Kock","",0,7,34,2,47,4,77
"Jimmy Neesham",,,4,19,0,,,
"Laxmi Ratan Shukla",3,10,5,17,0,,,
"Dinesh Karthik",19,45,14,45,14,31,,
"Nathan Coulter-Nile",1,61,2,42,11,70,4,21
"HS Sharath",,,0,,,,,
"Imran Tahir",,,6,53,10,54,4,66
"Jaidev Unadkat",13,45,9,37,1,4,,
"Mohammed Shami",3,16,12,29,0,,,
"Rahul Sharma",,,2,9,0,,,
"Rahul Shukla",3,24,3,30,,,,
"Shahbaz Nadeem",12,48,11,30,3,39,,
"Siddarth Kaul",6,38,5,12,0,,,
"Wayne Parnell",4,46,8,43,,,,
"Chris Lynn",,,2,66,0,,,
"Debabrata Das",6,19,0,,,,,
"Gautam Gambhir",16,42,16,37,13,41,,
"Manish Pandey",7,31,16,46,13,32,,
"Suryakumar Yadav",,,16,24,13,25,,
"Robin Uthappa",16,42,16,85,13,60,,
"Andre Russell",3,6,2,7,13,101,4,97
"Jacques Kallis",16,73,8,53,,,,
"Kuldeep Yadav",,,0,,0,,,
"Ryan ten Doeschate",4,38,10,21,6,26,,
"Shakib Al Hasan",,,13,81,4,51,4,81
"Yusuf Pathan",16,40,15,40,13,49,,
"Manvinder Bisla",14,27,1,17,2,33,,
"Piyush Chawla",16,42,11,61,13,45,,
"Morne Morkel",10,41,12,59,7,71,,
"Pat Cummins",,,1,71,3,19,,
"Sayan Mondal",,,0,,,,,
"Sunil Narine",16,77,16,69,8,49,,
"Umesh Yadav",,,12,48,12,45,,
"Veer Pratap Singh",,,0,,0,,,
"Vinay Kumar",16,57,9,33,13,34,,
"Cheteshwar Pujara",4,30,6,28,,,,
"David Miller",12,72,16,59,13,50,4,31
"George Bailey",,,17,35,13,34,,
"Gurkeerat Mann Singh",9,18,0,,5,33,,
"Manan Vohra",10,27,8,79,7,18,,
"Mandeep Singh",14,28,3,12,12,29,,
"Shaun Marsh",8,59,2,82,4,40,,
"Shivam Sharma",,,4,45,1,11,,
"Virender Sehwag",13,39,17,51,8,18,,
"Glenn Maxwell",3,22,16,80,11,27,4,71
"Akshar Patel",13,38,17,71,14,62,,
"Rishi Dhawan",5,34,13,54,5,22,,
"Thisara Perera",16,72,0,,2,21,4,63
"Wriddhiman Saha",3,39,17,50,14,37,,
"Mitchell Johnson",17,66,14,60,9,39,,
"Anureet Singh",,,0,,14,42,,
"Beuran Hendricks",,,3,41,4,46,,
"Karanveer Singh",,,5,83,4,12,,
"Lakshmipathy Balaji",13,42,9,49,,,,
"Murali Kartik",11,36,2,15,,,,
"Parvinder Awana",14,45,7,33,0,,,
"Sandeep Sharma","",0,11,72,14,55,,
"Shardul Thakur",,,0,,1,23,,
"Apporv Wankhade",,,0,,,,,
"Jalaj Saxena",,,0,,0,,,
"Lendl Simmons",,,8,91,13,75,,
"Michael Hussey",17,79,9,44,4,33,,
"Rohit Sharma",19,51,15,51,16,58,4,19
"Corey Anderson",,,12,55,4,58,4,52
"Aditya Tare",5,48,15,15,2,10,,
"Ambati Rayudu",17,23,15,45,15,42,,
"Ben Dunk",,,3,28,,,,
"Kieron Pollard",18,62,15,39,16,64,,
"CM Gautam",3,24,9,30,1,18,,
"Sushant Marathe",,,0,,,,,
"Harbhajan Singh",19,68,14,62,15,70,,
"Jasprit Bumrah",2,45,11,35,4,10,4,33
"Josh Hazlewood",,,0,,0,,2,25
"Krishmar Santokie",,,2,43,,,,
"Lasith Malinga",17,50,10,70,15,73,,
"Marchant de Lange",,,1,70,1,52,,
"Pawan Suyal",1,40,1,25,3,6,,
"Pragyan Ojha",15,44,12,27,1,-4,,
"Praveen Kumar",15,55,3,64,12,25,,
"Shreyas Gopal",,,4,61,1,20,,
"Zaheer Khan",2,78,6,49,6,68,,
"Nic Maddinson",,,2,19,1,1,,
"Rilee Rossouw",,,3,15,2,17,1,5
"Tanmay Mishra",,,0,,,,,
"Vijay Zol",,,3,13,0,,,
"Virat Kohli",16,73,14,45,14,70,4,92
"Chris Gayle",16,93,9,33,12,77,3,109
"AB de Villiers",14,49,14,59,14,72,4,54
"Yogesh Takawale",,,5,36,0,,,
"Albie Morkel",8,51,7,36,4,61,,
"Yuvraj Singh",13,52,14,67,13,34,4,31
"Parthiv Patel",,,12,41,14,51,,
"Abu Nechim",,,4,34,3,21,,
"Ashok Dinda",13,40,9,25,1,12,,
"Harshal Patel",,,3,46,13,51,,
"Mitchell Starc",,,14,62,11,86,,
"Muttiah Muralitharan",6,28,5,32,,,,
"Ravi Rampaul",10,69,2,45,,,,
"Sachin Rana",,,9,15,,,,
"Sandeep Warrier",,,0,,0,,,
"Shadab Jakati",,,1,-4,,,,
"Varun Aaron",,,10,64,5,35,,
"Yuzvendra Chahal",1,12,14,51,13,57,,
"Ajinkya Rahane",18,43,13,47,13,75,,
"Brad Hodge",14,38,4,49,,,,
"Unmukt Chand",9,25,1,-5,6,32,,
"Abhishek Nayar",10,15,5,14,0,,,
"Karun Nair",2,4,11,56,13,24,,
"Steve Smith",7,39,10,34,13,44,4,32
"Sanju Samson",10,34,13,53,13,35,,
"Ben Cutting",,,1,81,0,,,
"Rajat Bhatia",15,38,12,56,2,5,,
"Shane Watson",16,96,13,57,9,95,4,91
"Stuart Binny",17,47,13,25,12,29,,
