firstname,games_2014,avg_points_2014,games_2015,avg_points_2015
"Mithun Manhas",12,9,0,
"Dwayne Smith",16,76,16,47
"Francois du Plessis",15,42,17,41
"Suresh Raina",16,76,17,51
"Brendon McCullum",14,53,14,61
"Baba Aparajith",0,,0,
"Dwayne Bravo",1,15,17,81
"Ravindra Jadeja",16,68,17,51
"MS Dhoni",16,47,17,48
"Pawan Negi",2,8,10,53
"Ravichandran Ashwin",16,55,14,54
"Ashish Nehra",4,61,16,71
"Ben Hilfenhaus",8,40,0,
"Ishwar Pandey",13,38,10,54
"Matt Henry",0,,0,
"Mohit Sharma",16,57,16,41
"Ronit More",0,,2,17
"Samuel Badree",4,38,0,
"Jayant Yadav",0,,2,63
"Kedar Jadhav",10,28,13,32
"Kevin Pietersen",11,41,0,
"Manoj Tiwary",8,29,5,22
"Mayank Agarwal",8,23,10,39
"Murali Vijay",11,34,11,37
"Saurabh Tiwary",0,,6,35
"JP Duminy",14,67,13,76
"Quinton de Kock",7,34,2,47
"Jimmy Neesham",4,19,0,
"Laxmi Ratan Shukla",5,17,0,
"Dinesh Karthik",14,45,14,31
"Nathan Coulter-Nile",2,42,11,70
"Imran Tahir",6,53,10,54
"Jaidev Unadkat",9,37,1,4
"Mohammed Shami",12,29,0,
"Rahul Sharma",2,9,0,
"Shahbaz Nadeem",11,30,3,39
"Siddarth Kaul",5,12,0,
"Chris Lynn",2,66,0,
"Gautam Gambhir",16,37,13,41
"Manish Pandey",16,46,13,32
"Suryakumar Yadav",16,24,13,25
"Robin Uthappa",16,85,13,60
"Andre Russell",2,7,13,101
"Kuldeep Yadav",0,,0,
"Ryan ten Doeschate",10,21,6,26
"Shakib Al Hasan",13,81,4,51
"Yusuf Pathan",15,40,13,49
"Manvinder Bisla",1,17,2,33
"Piyush Chawla",11,61,13,45
"Morne Morkel",12,59,7,71
"Pat Cummins",1,71,3,19
"Sunil Narine",16,69,8,49
"Umesh Yadav",12,48,12,45
"Veer Pratap Singh",0,,0,
"Vinay Kumar",9,33,13,34
"David Miller",16,59,13,50
"George Bailey",17,35,13,34
"Gurkeerat Mann Singh",0,,5,33
"Manan Vohra",8,79,7,18
"Mandeep Singh",3,12,12,29
"Shaun Marsh",2,82,4,40
"Shivam Sharma",4,45,1,11
"Virender Sehwag",17,51,8,18
"Glenn Maxwell",16,80,11,27
"Akshar Patel",17,71,14,62
"Rishi Dhawan",13,54,5,22
"Thisara Perera",0,,2,21
"Wriddhiman Saha",17,50,14,37
"Mitchell Johnson",14,60,9,39
"Anureet Singh",0,,14,42
"Beuran Hendricks",3,41,4,46
"Karanveer Singh",5,83,4,12
"Parvinder Awana",7,33,0,
"Sandeep Sharma",11,72,14,55
"Shardul Thakur",0,,1,23
"Jalaj Saxena",0,,0,
"Lendl Simmons",8,91,13,75
"Michael Hussey",9,44,4,33
"Rohit Sharma",15,51,16,58
"Corey Anderson",12,55,4,58
"Aditya Tare",15,15,2,10
"Ambati Rayudu",15,45,15,42
"Kieron Pollard",15,39,16,64
"CM Gautam",9,30,1,18
"Harbhajan Singh",14,62,15,70
"Jasprit Bumrah",11,35,4,10
"Josh Hazlewood",0,,0,
"Lasith Malinga",10,70,15,73
"Marchant de Lange",1,70,1,52
"Pawan Suyal",1,25,3,6
"Pragyan Ojha",12,27,1,-4
"Praveen Kumar",3,64,12,25
"Shreyas Gopal",4,61,1,20
"Zaheer Khan",6,49,6,68
"Nic Maddinson",2,19,1,1
"Rilee Rossouw",3,15,2,17
"Vijay Zol",3,13,0,
"Virat Kohli",14,45,14,70
"Chris Gayle",9,33,12,77
"AB de Villiers",14,59,14,72
"Yogesh Takawale",5,36,0,
"Albie Morkel",7,36,4,61
"Yuvraj Singh",14,67,13,34
"Parthiv Patel",12,41,14,51
"Abu Nechim",4,34,3,21
"Ashok Dinda",9,25,1,12
"Harshal Patel",3,46,13,51
"Mitchell Starc",14,62,11,86
"Sandeep Warrier",0,,0,
"Varun Aaron",10,64,5,35
"Yuzvendra Chahal",14,51,13,57
"Ajinkya Rahane",13,47,13,75
"Unmukt Chand",1,-5,6,32
"Abhishek Nayar",5,14,0,
"Karun Nair",11,56,13,24
"Steve Smith",10,34,13,44
"Sanju Samson",13,53,13,35
"Ben Cutting",1,81,0,
"Rajat Bhatia",12,56,2,5
"Shane Watson",13,57,9,95
"Stuart Binny",13,25,12,29
"Ankush Bains",0,,0,
"Dishant Yagnik",1,12,0,
"Ankit Sharma",3,76,4,35
"James Faulkner",13,60,12,53
"Deepak Hooda",0,,13,30
"Dhawal Kulkarni",8,49,10,56
"Iqbal Abdulla",1,19,5,48
"Kane Richardson",7,58,0,
"Pravin Tambe",13,57,9,39
"Rahul Tewatia",3,45,1,37
"Tim Southee",3,31,6,42
"Vikramjeet Malik",1,35,0,
"Aaron Finch",13,43,3,4
"David Warner",14,75,14,85
"Ricky Bhui",0,,0,
"Shikhar Dhawan",14,44,14,44
"Lokesh Rahul",11,24,9,26
"Darren Sammy",10,28,2,14
"Irfan Pathan",10,27,0,
"Moises Henriques",4,33,9,108
"Naman Ojha",11,47,14,21
"Parveez Rasool",3,21,2,34
"Amit Mishra",10,29,12,36
"Ashish Reddy",0,,6,38
"Bhuvneshwar Kumar",14,73,14,61
"Chama Milind",0,,0,
"Dale Steyn",14,52,6,28
"Ishant Sharma",3,33,4,9
"Karn Sharma",14,53,14,43
