"Pratyush Singh",,,0,
"Eklavya Dwivedi",,,0,
"Andrew Tye",,,0,
"Kyle Abbott",,,0,
"Shreyas Iyer",,,13,56
"Travis Head",,,0,
"Angelo Mathews",,,10,55
"Marcus Stoinis",,,0,
"Kona Srikar Bharat",,,0,
"Domnic Joseph",,,6,34
"Gurinder Sandhu",,,2,14
"KK Jiyaz",,,0,
"Aditya Garhwal",,,0,
"Azhar Mahmood",,,1,6
"Sumit Narwal",,,0,
"Vaibhav Rawal",,,0,
"Sheldon Jackson",,,0,
"Johan Botha",,,4,41
"Brad Hogg",,,6,66
"K.C. Cariappa",,,1,13
"Yogesh Golwalkar",,,0,
"Nikhil Shankar Naik",,,0,
"Aiden Blizzard",,,0,
"Alex Hales",,,0,
"Colin Munro",,,0,
"Hardik Pandya",,,9,43
"J. Suchitch",,,13,43
"Nitish Rana",,,0,
"Siddhesh Dinesh Lad",,,0,
"Abhimanyu Mithun",,,0,
"Akshay Wakhare",,,0,
"Mitchell McClenaghan",,,12,65
"Sarfaraz Naushad Khan",,,11,13
"Shishir Bhavane",,,0,
"Subramaniam Badrinath",,,0,
"David Wiese",,,12,66
"Adam Milne",,,0,
"Sean Abbott",,,2,9
"Sreenath Arvind",,,5,69
"Christopher Morris",,,11,69
"Dinesh Salunkhe",,,0,
"Pardeep Sahu",,,0,
"Sagar Trivedi",,,0,
"Barinder Singh Saran",,,1,3
"Juan Theron",,,1,22
"Eoin Morgan",,,9,42
"Hanuma Vihari",,,5,17
"Kane Williamson",,,2,36
"Bipul Sharma",,,4,34
"Prasanth Padmanabhan",,,0,
"Ravi Bopara",,,9,51
"Trent Boult",,,7,62
