firstname,team_id,team,firstname,num_games_2013,avg_points_2013,num_games_2014,avg_points_2014,num_games_2015,avg_points_2015,num_games_2016wc,avg_points_2016wc
"JP Duminy",0,DD,"JP Duminy",,,14,67,13,76,2,87
"Mayank Agarwal",0,DD,"Mayank Agarwal",5,20,8,23,10,39,,
"Khaleel Ahmed",0,DD,,,,,,,,,
"Sam Billings",0,DD,,,,,,,,,
"Carlos Brathwaite",0,DD,"Carlos Brathwaite",,,,,,,6,52
"Nathan Coulter-Nile",0,DD,"Nathan Coulter-Nile",1,61,2,42,11,70,4,21
"Quinton de Kock",0,DD,"Quinton de Kock","",0,7,34,2,47,4,77
"Akhil Herwadkar",0,DD,,,,,,,,,
"Imran Tahir",0,DD,"Imran Tahir",,,6,53,10,54,4,66
"Shreyas Iyer",0,DD,"Shreyas Iyer",,,,,13,56,,
"Zaheer Khan",0,DD,"Zaheer Khan",2,78,6,49,6,68,,
"Mahipal Lomror",0,DD,,,,,,,,,
"Chama Milind",0,DD,"Chama Milind",,,0,,0,,,
"Amit Mishra",0,DD,"Amit Mishra",17,72,10,29,12,36,,
"Mohammed Shami",0,DD,"Mohammed Shami",3,16,12,29,0,,,
"Christopher Morris",0,DD,"Christopher Morris",16,36,,,11,69,3,81
"Shahbaz Nadeem",0,DD,"Shahbaz Nadeem",12,48,11,30,3,39,,
"Karun Nair",0,DD,"Karun Nair",2,4,11,56,13,24,,
"Pawan Negi",0,DD,"Pawan Negi",1,19,2,8,10,53,,
"Rishabh Pant",0,DD,,,,,,,,,
"Joel Paris",0,DD,,,,,,,,,
"Pratyush Singh",0,DD,"Pratyush Singh",,,,,0,,,
"Sanju Samson",0,DD,"Sanju Samson",10,34,13,53,13,35,,
"Pawan Suyal",0,DD,"Pawan Suyal",1,40,1,25,3,6,,
"Jayant Yadav",0,DD,"Jayant Yadav",16,40,0,,2,63,,
"Suresh Raina",1,GL,"Suresh Raina",17,62,16,76,17,51,5,42
"Akshdeep Nath",1,GL,,,,,,,,,
"Dwayne Bravo",1,GL,"Dwayne Bravo",18,68,1,15,17,81,6,89
"Aaron Finch",1,GL,"Aaron Finch",14,58,13,43,3,4,2,41
"Ishan Kishan",1,GL,,,,,,,,,
"Ravindra Jadeja",1,GL,"Ravindra Jadeja",18,51,16,68,17,51,5,43
"Shadab Jakati",1,GL,"Shadab Jakati",,,1,-4,,,,
"Dinesh Karthik",1,GL,"Dinesh Karthik",19,45,14,45,14,31,,
"Shivil Kaushik",1,GL,,,,,,,,,
"Dhawal Kulkarni",1,GL,"Dhawal Kulkarni",6,49,8,49,10,56,,
"Praveen Kumar",1,GL,"Praveen Kumar",15,55,3,64,12,25,,
"Brendon McCullum",1,GL,"Brendon McCullum",1,7,14,53,14,61,,
"Pradeep Sangwan",1,GL,,,,,,,,,
"Jaydev Shah",1,GL,,,,,,,,,
"Umang Sharma",1,GL,,,,,,,,,
"Dwayne Smith",1,GL,"Dwayne Smith",13,60,16,76,16,47,,
"Dale Steyn",1,GL,"Dale Steyn",17,73,14,52,6,28,2,17
"Pravin Tambe",1,GL,"Pravin Tambe",3,21,13,57,9,39,,
"Andrew Tye",1,GL,"Andrew Tye",,,,,0,,,
"David Miller",2,KXIP,"David Miller",12,72,16,59,13,50,4,31
"Kyle Abbott",2,KXIP,"Kyle Abbott",,,,,0,,3,95
"Anureet Singh",2,KXIP,"Anureet Singh",,,0,,14,42,,
"Armaan Jaffer",2,KXIP,,,,,,,,,
"Farhaan Behardien",2,KXIP,"Farhaan Behardien",,,,,,,1,105
"K.C. Cariappa",2,KXIP,"K.C. Cariappa",,,,,1,13,,
"Rishi Dhawan",2,KXIP,"Rishi Dhawan",5,34,13,54,5,22,,
"Gurkeerat Mann Singh",2,KXIP,"Gurkeerat Mann Singh",9,18,0,,5,33,,
"Mitchell Johnson",2,KXIP,"Mitchell Johnson",17,66,14,60,9,39,,
"Shaun Marsh",2,KXIP,"Shaun Marsh",8,59,2,82,4,40,,
"Glenn Maxwell",2,KXIP,"Glenn Maxwell",3,22,16,80,11,27,4,71
"Nikhil Naik",2,KXIP,,,,,,,,,
"Akshar Patel",2,KXIP,"Akshar Patel",13,38,17,71,14,62,,
"Wriddhiman Saha",2,KXIP,"Wriddhiman Saha",3,39,17,50,14,37,,
"Pardeep Sahu",2,KXIP,"Pardeep Sahu",,,,,0,,,
"Sandeep Sharma",2,KXIP,"Sandeep Sharma","",0,11,72,14,55,,
"Mohit Sharma",2,KXIP,"Mohit Sharma","",0,16,57,16,41,,
"Marcus Stoinis",2,KXIP,"Marcus Stoinis",,,,,0,,,
"Swapnil Singh",2,KXIP,,,,,,,,,
"Shardul Thakur",2,KXIP,"Shardul Thakur",,,0,,1,23,,
"Murali Vijay",2,KXIP,"Murali Vijay",15,31,11,34,11,37,,
"Manan Vohra",2,KXIP,"Manan Vohra",10,27,8,79,7,18,,
"Gautam Gambhir",3,KKR,"Gautam Gambhir",16,42,16,37,13,41,,
"Piyush Chawla",3,KKR,"Piyush Chawla",16,42,11,61,13,45,,
"John Hastings",3,KKR,"John Hastings",,,1,27,,,1,13
"Brad Hogg",3,KKR,"Brad Hogg",1,4,,,6,66,,
"Jason Holder",3,KKR,"Jason Holder",6,22,1,60,,,,
"Sheldon Jackson",3,KKR,"Sheldon Jackson",,,,,0,,,
"Kuldeep Yadav",3,KKR,"Kuldeep Yadav",,,0,,0,,,
"Chris Lynn",3,KKR,"Chris Lynn",,,2,66,0,,,
"Manan Sharma",3,KKR,,,,,,,,,
