JP Duminy,
Mayank Agarwal,
Khaleel Ahmed,
Sam Billings,
Carlos Brathwaite,0.012
Nathan Coulter-Nile,0.029
Quinton de Kock,
Akhil Herwadkar,
Imran Tahir,0.059
Shreyas Iyer,
Zaheer Khan,0.024
Mahipal Lomror,
Chama Milind,
Amit Mishra,0.034
Mohammed Shami,0.029
Chris Morris,0.029
Shahbaz Nadeem,
Karun Nair,
Pawan Negi,0.015
Rishabh Pant,
Joel Paris,
Pratyush Singh,
Sanju Samson,
Pawan Suyal,
Jayant Yadav,
Suresh Raina,
Akshdeep Nath,
Dwayne Bravo,0.077
Aaron Finch,
Ishan Kishan,
Ravindra Jadeja,0.029
Shadab Jakati,0.008
Dinesh Karthik,
Shivil Kaushik,
Dhawal Kulkarni,0.015
Praveen Kumar,0.015
Brendon McCullum,
Pradeep Sangwan,
Jaydev Shah,
Umang Sharma,
Dwayne Smith,
Dale Steyn,0.029
Pravin Tambe,0.029
Andrew Tye,0.01
David Miller,
Kyle Abbott,0.02
Anureet Singh,0.008
Armaan Jaffer,
Farhaan Behardien,
K.C. Cariappa,0.01
Rishi Dhawan,0.008
Gurkeerat Mann Singh,0.008
Mitchell Johnson,0.038
Shaun Marsh,
Glenn Maxwell,
Nikhil Naik,
Axar Patel,0.024
Wriddhiman Saha,
Pardeep Sahu,
Sandeep Sharma,0.038
Mohit Sharma,0.034
Marcus Stoinis,
Swapnil Singh,0.007
Shardul Thakur,
Murali Vijay,
Manan Vohra,
Gautam Gambhir,
Piyush Chawla,0.034
John Hastings,0.02
Brad Hogg,0.012
Jason Holder,
Sheldon Jackson,
Kuldeep Yadav,0.015
Chris Lynn,
Manan Sharma,
Morne Morkel,0.024
Colin Munro,
Sunil Narine,0.059
Manish Pandey,
Yusuf Pathan,
Ankit Rajpoot,
Andre Russell,0.048
Rajagopal Sathish,
Shakib Al Hasan,0.029
Jaidev Unadkat,0.01
Robin Uthappa,
Suryakumar Yadav,
Umesh Yadav,0.024
Rohit Sharma,
Corey Anderson,0.012
Jasprit Bumrah,0.048
Jos Buttler,
Unmukt Chand,
Marchant de Lange,0.012
Shreyas Gopal,0.005
Harbhajan Singh,0.038
Kishore Kamath,
Siddhesh Lad,
Mitchell McClenaghan,0.034
Lasith Malinga,0.024
Hardik Pandya,0.02
Krunal Pandya,
Parthiv Patel,
Kieron Pollard,
Deepak Punia,
Nitish Rana,
Jitesh Sharma,
Ambati Rayudu,
Lendl Simmons,
Tim Southee,0.012
Jagadeesha Suchith,
Vinay Kumar,0.015
Akshay Wakhare,
MS Dhoni,
Ankit Sharma,0.038
Baba Aparajith,
Ravichandran Ashwin,
Murugan Ashwin,
Ankush Bains,
Rajat Bhatia,0.012
Scott Boland,0.015
Deepak Chahar,0.01
Ashok Dinda,0.015
Francois du Plessis,
Peter Handscomb,
Jaskaran Singh,0.007
Mitchell Marsh,0.012
Albie Morkel,
Ishwar Pandey,0.024
Irfan Pathan,0.007
Thisara Perera,0.007
Kevin Pietersen,
Ajinkya Rahane,
Ishant Sharma,0.024
RP Singh,0.01
Steve Smith,
Saurabh Tiwary,
Adam Zampa,0.015
Virat Kohli,
Varun Aaron,0.024
Abu Nechim,0.008
Sreenath Aravind,0.015
Samuel Badree,0.048
Stuart Binny,0.007
Yuzvendra Chahal,0.038
AB de Villiers,
Praveen Dubey,
Chris Gayle,
Travis Head,
Iqbal Abdulla,0.007
Kedar Jadhav,
Akshay Karnewar,
Sarfaraz Naushad Khan,
Vikramjeet Malik,0.01
Mandeep Singh,
Adam Milne,0.024
Harshal Patel,0.02
Lokesh Rahul,
Parveez Rasool,
Kane Richardson,0.012
Sachin Baby,
Mitchell Starc,
Vikas Tokas,
Shane Watson,0.024
David Wiese,0.01
Shikhar Dhawan,
Ashish Reddy,0.01
Ricky Bhui,
Bipul Sharma,0.01
Trent Boult,0.029
Ben Cutting,0.01
Moises Henriques,0.008
Deepak Hooda,
Siddarth Kaul,0.008
Bhuvneshwar Kumar,0.034
Abhimanyu Mithun,0.012
Eoin Morgan,
Mustafizur Rahman,0.024
Ashish Nehra,0.038
Naman Ojha,
Vijay Shankar,
Karn Sharma,0.02
Barinder Sran,
Tirumalasetti Suman,
Aditya Tare,
David Warner,
Kane Williamson,
Yuvraj Singh,
James Faulkner,0.038
